date,Period,HousingVacancies,RentalVacancies
1956-01-01,1st Quarter-1956,1.0,6.2
1956-04-01,2nd Quarter-1956,1.0,5.9
1956-07-01,3rd Quarter-1956,1.1,6.3
1956-10-01,4th Quarter-1956,0.9,5.8
1957-01-01,1st Quarter-1957,0.9,5.3
1957-04-01,2nd Quarter-1957,1.0,5.3
1957-07-01,3rd Quarter-1957,0.9,5.7
1957-10-01,4th Quarter-1957,1.0,5.8
1958-01-01,1st Quarter-1958,1.2,6.3
1958-04-01,2nd Quarter-1958,1.2,6.5
1958-07-01,3rd Quarter-1958,1.2,6.3
1958-10-01,4th Quarter-1958,1.2,6.6
1959-01-01,1st Quarter-1959,1.1,6.8
1959-04-01,2nd Quarter-1959,1.3,7.3
1959-07-01,3rd Quarter-1959,1.2,7.2
1959-10-01,4th Quarter-1959,1.1,7.0
1960-01-01,1st Quarter-1960,1.2,8.0
1960-04-01,2nd Quarter-1960,1.3,8.0
1960-07-01,3rd Quarter-1960,1.3,8.3
1960-10-01,4th Quarter-1960,1.3,8.4
1961-01-01,1st Quarter-1961,1.3,8.9
1961-04-01,2nd Quarter-1961,1.5,8.8
1961-07-01,3rd Quarter-1961,1.5,8.6
1961-10-01,4th Quarter-1961,1.3,8.5
1962-01-01,1st Quarter-1962,1.3,8.5
1962-04-01,2nd Quarter-1962,1.4,8.1
1962-07-01,3rd Quarter-1962,1.4,8.0
1962-10-01,4th Quarter-1962,1.5,8.1
1963-01-01,1st Quarter-1963,1.5,8.0
1963-04-01,2nd Quarter-1963,1.5,8.2
1963-07-01,3rd Quarter-1963,1.7,8.3
1963-10-01,4th Quarter-1963,1.5,8.3
1964-01-01,1st Quarter-1964,1.4,8.1
1964-04-01,2nd Quarter-1964,1.5,8.1
1964-07-01,3rd Quarter-1964,1.5,8.4
1964-10-01,4th Quarter-1964,1.5,8.3
1965-01-01,1st Quarter-1965,1.7,8.5
1965-04-01,2nd Quarter-1965,1.5,8.2
1965-07-01,3rd Quarter-1965,1.6,7.8
1965-10-01,4th Quarter-1965,1.5,8.5
1966-01-01,1st Quarter-1966,1.5,8.3
1966-04-01,2nd Quarter-1966,1.5,7.4
1966-07-01,3rd Quarter-1966,1.4,7.4
1966-10-01,4th Quarter-1966,1.3,7.7
1967-01-01,1st Quarter-1967,1.4,7.3
1967-04-01,2nd Quarter-1967,1.3,6.9
1967-07-01,3rd Quarter-1967,1.4,7.0
1967-10-01,4th Quarter-1967,1.3,6.2
1968-01-01,1st Quarter-1968,1.1,6.1
1968-04-01,2nd Quarter-1968,1.1,6.2
1968-07-01,3rd Quarter-1968,1.2,5.9
1968-10-01,4th Quarter-1968,1.2,5.4
1969-01-01,1st Quarter-1969,1.0,5.6
1969-04-01,2nd Quarter-1969,1.0,5.7
1969-07-01,3rd Quarter-1969,1.1,5.5
1969-10-01,4th Quarter-1969,1.0,5.1
1970-01-01,1st Quarter-1970,1.0,5.4
1970-04-01,2nd Quarter-1970,1.0,5.4
1970-07-01,3rd Quarter-1970,1.1,5.3
1970-10-01,4th Quarter-1970,1.1,5.2
1971-01-01,1st Quarter-1971,1.0,5.3
1971-04-01,2nd Quarter-1971,0.9,5.3
1971-07-01,3rd Quarter-1971,1.0,5.6
1971-10-01,4th Quarter-1971,1.0,5.6
1972-01-01,1st Quarter-1972,1.0,5.3
1972-04-01,2nd Quarter-1972,1.0,5.5
1972-07-01,3rd Quarter-1972,0.9,5.8
1972-10-01,4th Quarter-1972,1.0,5.6
1973-01-01,1st Quarter-1973,1.0,5.7
1973-04-01,2nd Quarter-1973,0.9,5.8
1973-07-01,3rd Quarter-1973,1.1,5.8
1973-10-01,4th Quarter-1973,1.2,5.8
1974-01-01,1st Quarter-1974,1.2,6.2
1974-04-01,2nd Quarter-1974,1.1,6.3
1974-07-01,3rd Quarter-1974,1.2,6.2
1974-10-01,4th Quarter-1974,1.3,6.0
1975-01-01,1st Quarter-1975,1.2,6.1
1975-04-01,2nd Quarter-1975,1.2,6.3
1975-07-01,3rd Quarter-1975,1.4,6.2
1975-10-01,4th Quarter-1975,1.2,5.4
1976-01-01,1st Quarter-1976,1.2,5.5
1976-04-01,2nd Quarter-1976,1.2,5.8
1976-07-01,3rd Quarter-1976,1.3,5.7
1976-10-01,4th Quarter-1976,1.2,5.3
1977-01-01,1st Quarter-1977,1.3,5.1
1977-04-01,2nd Quarter-1977,1.3,5.3
1977-07-01,3rd Quarter-1977,1.1,5.4
1977-10-01,4th Quarter-1977,1.0,5.1
1978-01-01,1st Quarter-1978,1.0,5.0
1978-04-01,2nd Quarter-1978,0.9,5.1
1978-07-01,3rd Quarter-1978,1.0,5.0
1978-10-01,4th Quarter-1978,1.1,5.0
1979-01-01,1st Quarter-1979,1.1,5.1
1979-04-01,2nd Quarter-1979,1.1,5.5
1979-07-01,3rd Quarter-1979,1.2,5.7
1979-10-01,4th Quarter-1979,1.3,5.4
1980-01-01,1st Quarter-1980,1.3,5.2
1980-04-01,2nd Quarter-1980,1.4,5.6
1980-07-01,3rd Quarter-1980,1.4,5.7
1980-10-01,4th Quarter-1980,1.4,5.0
1981-01-01,1st Quarter-1981,1.3,5.2
1981-04-01,2nd Quarter-1981,1.3,5.0
1981-07-01,3rd Quarter-1981,1.5,5.0
1981-10-01,4th Quarter-1981,1.4,5.0
1982-01-01,1st Quarter-1982,1.4,5.3
1982-04-01,2nd Quarter-1982,1.6,5.1
1982-07-01,3rd Quarter-1982,1.5,5.3
1982-10-01,4th Quarter-1982,1.6,5.5
1983-01-01,1st Quarter-1983,1.4,5.7
1983-04-01,2nd Quarter-1983,1.5,5.5
1983-07-01,3rd Quarter-1983,1.6,5.8
1983-10-01,4th Quarter-1983,1.6,5.5
1984-01-01,1st Quarter-1984,1.6,5.6
1984-04-01,2nd Quarter-1984,1.7,5.5
1984-07-01,3rd Quarter-1984,1.7,6.0
1984-10-01,4th Quarter-1984,1.7,6.3
1985-01-01,1st Quarter-1985,1.8,6.3
1985-04-01,2nd Quarter-1985,1.9,6.2
1985-07-01,3rd Quarter-1985,1.8,6.8
1985-10-01,4th Quarter-1985,1.6,6.7
1986-01-01,1st Quarter-1986,1.5,6.9
1986-04-01,2nd Quarter-1986,1.7,7.3
1986-07-01,3rd Quarter-1986,1.6,7.5
1986-10-01,4th Quarter-1986,1.6,7.7
1987-01-01,1st Quarter-1987,1.7,7.4
1987-04-01,2nd Quarter-1987,1.7,7.5
1987-07-01,3rd Quarter-1987,1.7,8.1
1987-10-01,4th Quarter-1987,1.6,7.8
1988-01-01,1st Quarter-1988,1.6,8.0
1988-04-01,2nd Quarter-1988,1.6,7.7
1988-07-01,3rd Quarter-1988,1.6,7.8
1988-10-01,4th Quarter-1988,1.6,7.3
1989-01-01,1st Quarter-1989,1.7,7.5
1989-04-01,2nd Quarter-1989,1.7,7.4
1989-07-01,3rd Quarter-1989,1.9,7.6
1989-10-01,4th Quarter-1989,1.8,7.1
1990-01-01,1st Quarter-1990,1.7,7.5
1990-04-01,2nd Quarter-1990,1.7,7.0
1990-07-01,3rd Quarter-1990,1.7,7.2
1990-10-01,4th Quarter-1990,1.7,7.2
1991-01-01,1st Quarter-1991,1.7,7.5
1991-04-01,2nd Quarter-1991,1.8,7.3
1991-07-01,3rd Quarter-1991,1.8,7.6
1991-10-01,4th Quarter-1991,1.6,7.3
1992-01-01,1st Quarter-1992,1.5,7.4
1992-04-01,2nd Quarter-1992,1.6,7.7
1992-07-01,3rd Quarter-1992,1.6,7.3
1992-10-01,4th Quarter-1992,1.5,7.1
1993-01-01,1st Quarter-1993,1.4,7.8
1993-04-01,2nd Quarter-1993,1.4,7.6
1993-07-01,3rd Quarter-1993,1.4,7.0
1993-10-01,4th Quarter-1993,1.4,6.9
1994-01-01,1st Quarter-1994,1.4,7.5
1994-04-01,2nd Quarter-1994,1.4,7.4
1994-07-01,3rd Quarter-1994,1.4,7.2
1994-10-01,4th Quarter-1994,1.6,7.4
1995-01-01,1st Quarter-1995,1.5,7.4
1995-04-01,2nd Quarter-1995,1.6,7.7
1995-07-01,3rd Quarter-1995,1.5,7.7
1995-10-01,4th Quarter-1995,1.6,7.7
1996-01-01,1st Quarter-1996,1.6,7.9
1996-04-01,2nd Quarter-1996,1.5,7.8
1996-07-01,3rd Quarter-1996,1.7,8.0
1996-10-01,4th Quarter-1996,1.7,7.7
1997-01-01,1st Quarter-1997,1.7,7.5
1997-04-01,2nd Quarter-1997,1.6,7.9
1997-07-01,3rd Quarter-1997,1.5,7.9
1997-10-01,4th Quarter-1997,1.7,7.7
1998-01-01,1st Quarter-1998,1.7,7.7
1998-04-01,2nd Quarter-1998,1.7,8.0
1998-07-01,3rd Quarter-1998,1.7,8.2
1998-10-01,4th Quarter-1998,1.8,7.8
1999-01-01,1st Quarter-1999,1.8,8.2
1999-04-01,2nd Quarter-1999,1.6,8.1
1999-07-01,3rd Quarter-1999,1.6,8.2
1999-10-01,4th Quarter-1999,1.6,7.9
2000-01-01,1st Quarter-2000,1.6,7.9
2000-04-01,2nd Quarter-2000,1.5,8.0
2000-07-01,3rd Quarter-2000,1.6,8.2
2000-10-01,4th Quarter-2000,1.6,7.8
2001-01-01,1st Quarter-2001,1.5,8.2
2001-04-01,2nd Quarter-2001,1.8,8.3
2001-07-01,3rd Quarter-2001,1.9,8.4
2001-10-01,4th Quarter-2001,1.8,8.8
2002-01-01,1st Quarter-2002,1.7,9.1
2002-04-01,2nd Quarter-2002,1.7,8.4
2002-07-01,3rd Quarter-2002,1.7,9.0
2002-10-01,4th Quarter-2002,1.7,9.3
2003-01-01,1st Quarter-2003,1.7,9.4
2003-04-01,2nd Quarter-2003,1.7,9.6
2003-07-01,3rd Quarter-2003,1.9,9.9
2003-10-01,4th Quarter-2003,1.8,10.2
2004-01-01,1st Quarter-2004,1.7,10.4
2004-04-01,2nd Quarter-2004,1.7,10.2
2004-07-01,3rd Quarter-2004,1.7,10.1
2004-10-01,4th Quarter-2004,1.8,10.0
2005-01-01,1st Quarter-2005,1.8,10.1
2005-04-01,2nd Quarter-2005,1.8,9.8
2005-07-01,3rd Quarter-2005,1.9,9.9
2005-10-01,4th Quarter-2005,2.0,9.6
2006-01-01,1st Quarter-2006,2.1,9.5
2006-04-01,2nd Quarter-2006,2.2,9.6
2006-07-01,3rd Quarter-2006,2.5,9.9
2006-10-01,4th Quarter-2006,2.7,9.8
2007-01-01,1st Quarter-2007,2.8,10.1
2007-04-01,2nd Quarter-2007,2.6,9.5
2007-07-01,3rd Quarter-2007,2.7,9.8
2007-10-01,4th Quarter-2007,2.8,9.6
2008-01-01,1st Quarter-2008,2.9,10.1
2008-04-01,2nd Quarter-2008,2.8,10.0
2008-07-01,3rd Quarter-2008,2.8,9.9
2008-10-01,4th Quarter-2008,2.9,10.1
2009-01-01,1st Quarter-2009,2.7,10.1
2009-04-01,2nd Quarter-2009,2.5,10.6
2009-07-01,3rd Quarter-2009,2.6,11.1
2009-10-01,4th Quarter-2009,2.7,10.7
2010-01-01,1st Quarter-2010,2.6,10.6
2010-04-01,2nd Quarter-2010,2.5,10.6
2010-07-01,3rd Quarter-2010,2.5,10.3
2010-10-01,4th Quarter-2010,2.7,9.4
2011-01-01,1st Quarter-2011,2.6,9.7
2011-04-01,2nd Quarter-2011,2.5,9.2
2011-07-01,3rd Quarter-2011,2.4,9.8
2011-10-01,4th Quarter-2011,2.3,9.4
2012-01-01,1st Quarter-2012,2.2,8.8
2012-04-01,2nd Quarter-2012,2.1,8.6
2012-07-01,3rd Quarter-2012,1.9,8.6
2012-10-01,4th Quarter-2012,1.9,8.7
2013-01-01,1st Quarter-2013,2.1,8.6
2013-04-01,2nd Quarter-2013,1.9,8.2
2013-07-01,3rd Quarter-2013,1.9,8.3
2013-10-01,4th Quarter-2013,2.1,8.2
2014-01-01,1st Quarter-2014,2.0,8.3
2014-04-01,2nd Quarter-2014,1.9,7.5
2014-07-01,3rd Quarter-2014,1.8,7.4
2014-10-01,4th Quarter-2014,1.9,7.0
2015-01-01,1st Quarter-2015,1.9,7.1
2015-04-01,2nd Quarter-2015,1.8,6.8
2015-07-01,3rd Quarter-2015,1.9,7.3
2015-10-01,4th Quarter-2015,1.9,7.0
2016-01-01,1st Quarter-2016,1.7,7.0
2016-04-01,2nd Quarter-2016,1.7,6.7
2016-07-01,3rd Quarter-2016,1.8,6.8
2016-10-01,4th Quarter-2016,1.8,6.9
2017-01-01,1st Quarter-2017,1.7,7.0
2017-04-01,2nd Quarter-2017,1.5,7.3
2017-07-01,3rd Quarter-2017,1.6,7.5
2017-10-01,4th Quarter-2017,1.6,6.9
2018-01-01,1st Quarter-2018,1.5,7.0
2018-04-01,2nd Quarter-2018,1.5,6.8
2018-07-01,3rd Quarter-2018,1.6,7.1
2018-10-01,4th Quarter-2018,1.5,6.6
2019-01-01,1st Quarter-2019,1.4,7.0
2019-04-01,2nd Quarter-2019,1.3,6.8
2019-07-01,3rd Quarter-2019,1.4,6.8
2019-10-01,4th Quarter-2019,1.4,6.4
2020-01-01,1st Quarter-2020,1.1,6.6
2020-04-01,2nd Quarter-2020,0.9,5.7
2020-07-01,3rd Quarter-2020,0.9,6.4
2020-10-01,4th Quarter-2020,1.0,6.5
2021-01-01,1st Quarter-2021,0.9,6.8
2021-04-01,2nd Quarter-2021,0.9,6.2
2021-07-01,3rd Quarter-2021,0.9,5.8
2021-10-01,4th Quarter-2021,0.9,5.6
2022-01-01,1st Quarter-2022,0.8,5.8
2022-04-01,2nd Quarter-2022,0.8,5.6
2022-07-01,3rd Quarter-2022,0.9,6.0
2022-10-01,4th Quarter-2022,0.8,5.8
2023-01-01,1st Quarter-2023,0.8,6.4
2023-04-01,2nd Quarter-2023,0.7,6.3
2023-07-01,3rd Quarter-2023,0.8,6.6
2023-10-01,4th Quarter-2023,,
